"Tableau 16. Faits constatés par la police et la gendarmerie, par département de France métropolitaine, en 2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Index de l'Etat 4001","Ain","Aisne","Allier","Alpes-de-Haute-Provence","Hautes-Alpes","Alpes-Maritimes","Ardèche","Ardennes","Ariège","Aube","Aude","Aveyron","Bouches-du-Rhône","Calvados","Cantal","Charente","Charente-Maritime","Cher","Corrèze","Côte-d'Or","Côtes-d'Armor","Creuse","Dordogne","Doubs","Drôme","Eure","Eure-et-Loir","Finistère","Corse-du-Sud","Haute-Corse","Gard","Haute-Garonne","Gers","Gironde","Hérault","Ille-et-Vilaine","Indre","Indre-et-Loire","Isère","Jura","Landes","Loir-et-Cher","Loire","Haute-Loire","Loire-Atlantique","Loiret","Lot","Lot-et-Garonne","Lozère","Maine-et-Loire","Manche","Marne","Haute-Marne","Mayenne","Meurthe-et-Moselle","Meuse","Morbihan","Moselle","Nièvre","Nord","Oise","Orne","Pas-de-Calais","Puy-de-Dôme","Pyrénées-Atlantiques","Hautes-Pyrénées","Pyrénées-Orientales","Bas-Rhin","Haut-Rhin","Rhône","Haute-Saône","Saône-et-Loire","Sarthe","Savoie","Haute-Savoie","Paris","Seine-Maritime","Seine-et-Marne","Yvelines","Deux-Sèvres","Somme","Tarn","Tarn-et-Garonne","Var","Vaucluse","Vendée","Vienne","Haute-Vienne","Vosges","Yonne","Territoire de Belfort","Essonne","Hauts-de-Seine","Seine-Saint-Denis","Val-de-Marne","Val-d'Oise"
"Infractions à la législation sur les chèques","38.0","82.0","51.0","32.0","34.0","104.0","66.0","16.0","18.0","35.0","37.0","149.0","239.0","57.0","77.0","98.0","245.0","37.0","71.0","69.0","88.0","13.0","125.0","118.0","33.0","178.0","35.0","142.0","30.0","82.0","92.0","245.0","35.0","541.0","227.0","252.0","14.0","50.0","133.0","33.0","46.0","55.0","224.0","66.0","204.0","50.0","24.0","79.0","11.0","99.0","95.0","106.0","36.0","45.0","18.0","13.0","185.0","69.0","13.0","352.0","54.0","107.0","182.0","87.0","75.0","23.0","58.0","434.0","79.0","267.0","23.0","55.0","57.0","70.0","74.0","41.0","58.0","112.0","138.0","62.0","76.0","66.0","63.0","158.0","90.0","135.0","27.0","59.0","73.0","74.0","13.0","41.0","26.0","58.0","37.0","50.0"
"Travail clandestin","119.0","30.0","51.0","47.0","39.0","342.0","20.0","29.0","38.0","30.0","186.0","63.0","454.0","94.0","18.0","39.0","91.0","48.0","60.0","102.0","35.0","31.0","94.0","98.0","116.0","59.0","33.0","62.0","132.0","89.0","120.0","142.0","23.0","271.0","299.0","188.0","27.0","44.0","149.0","37.0","37.0","43.0","114.0","19.0","125.0","72.0","26.0","31.0","13.0","50.0","94.0","49.0","28.0","26.0","135.0","17.0","62.0","302.0","19.0","285.0","127.0","37.0","173.0","83.0","46.0","31.0","105.0","155.0","126.0","222.0","16.0","66.0","25.0","95.0","77.0","796.0","148.0","304.0","184.0","33.0","47.0","44.0","66.0","204.0","171.0","48.0","44.0","56.0","30.0","125.0","12.0","148.0","86.0","234.0","176.0","318.0"
"Emploi d'étranger sans titre de travail","56.0","4.0","2.0","5.0","18.0","113.0","2.0","6.0","2.0","5.0","26.0","3.0","122.0","36.0","1.0","3.0","2.0","14.0","2.0","26.0","0.0","3.0","5.0","21.0","17.0","22.0","4.0","2.0","62.0","37.0","42.0","77.0","0.0","65.0","99.0","46.0","9.0","2.0","27.0","2.0","1.0","2.0","14.0","1.0","29.0","32.0","0.0","0.0","0.0","8.0","23.0","3.0","2.0","0.0","22.0","3.0","2.0","70.0","1.0","96.0","83.0","4.0","13.0","18.0","21.0","1.0","46.0","37.0","21.0","44.0","0.0","14.0","5.0","41.0","34.0","390.0","50.0","141.0","60.0","0.0","8.0","1.0","5.0","39.0","83.0","2.0","6.0","13.0","2.0","8.0","0.0","78.0","38.0","81.0","64.0","174.0"
"Marchandage - prêt de main d'œuvre","4.0","0.0","2.0","2.0","4.0","4.0","0.0","1.0","1.0","0.0","1.0","1.0","2.0","18.0","2.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","2.0","1.0","2.0","1.0","1.0","0.0","10.0","1.0","6.0","1.0","0.0","6.0","2.0","4.0","0.0","1.0","2.0","7.0","2.0","0.0","1.0","1.0","1.0","4.0","0.0","0.0","0.0","0.0","2.0","1.0","0.0","1.0","1.0","2.0","0.0","24.0","0.0","11.0","1.0","1.0","2.0","2.0","0.0","0.0","4.0","3.0","2.0","5.0","0.0","1.0","1.0","11.0","0.0","10.0","0.0","5.0","3.0","0.0","1.0","0.0","149.0","5.0","4.0","1.0","1.0","0.0","2.0","1.0","0.0","3.0","2.0","4.0","13.0","15.0"
"Banqueroutes, abus de biens sociaux et autres délits de société","7.0","5.0","18.0","8.0","8.0","37.0","4.0","9.0","3.0","1.0","8.0","3.0","60.0","5.0","1.0","5.0","16.0","3.0","5.0","15.0","2.0","4.0","22.0","29.0","7.0","2.0","5.0","23.0","8.0","14.0","11.0","41.0","5.0","25.0","31.0","13.0","2.0","16.0","27.0","6.0","2.0","10.0","27.0","7.0","11.0","26.0","2.0","3.0","2.0","11.0","5.0","16.0","1.0","8.0","30.0","3.0","6.0","15.0","2.0","23.0","7.0","2.0","11.0","27.0","17.0","8.0","5.0","53.0","28.0","29.0","3.0","23.0","17.0","4.0","21.0","144.0","13.0","24.0","18.0","9.0","11.0","5.0","2.0","22.0","22.0","5.0","10.0","8.0","5.0","8.0","11.0","7.0","69.0","20.0","39.0","19.0"
"Prix illicites, publicité fausse et infractions aux règles de la concurrence","4.0","2.0","1.0","1.0","2.0","8.0","4.0","0.0","8.0","3.0","3.0","1.0","9.0","6.0","0.0","2.0","2.0","0.0","3.0","6.0","2.0","0.0","1.0","1.0","5.0","1.0","1.0","3.0","8.0","0.0","1.0","3.0","2.0","21.0","2.0","0.0","2.0","2.0","4.0","1.0","1.0","0.0","2.0","1.0","4.0","4.0","0.0","1.0","0.0","4.0","4.0","2.0","3.0","1.0","2.0","0.0","4.0","3.0","0.0","7.0","6.0","2.0","11.0","1.0","1.0","1.0","1.0","16.0","7.0","2.0","1.0","0.0","0.0","2.0","8.0","6.0","1.0","5.0","12.0","1.0","0.0","2.0","0.0","10.0","8.0","3.0","0.0","2.0","2.0","1.0","1.0","6.0","6.0","2.0","1.0","8.0"
"Achats et ventes sans factures","5.0","0.0","5.0","1.0","1.0","81.0","2.0","3.0","4.0","2.0","0.0","5.0","5.0","10.0","3.0","2.0","4.0","0.0","3.0","4.0","6.0","1.0","5.0","6.0","3.0","1.0","2.0","9.0","5.0","1.0","17.0","14.0","2.0","3.0","11.0","7.0","0.0","3.0","2.0","3.0","2.0","1.0","1.0","2.0","11.0","3.0","3.0","4.0","1.0","5.0","5.0","4.0","3.0","2.0","1.0","0.0","4.0","8.0","2.0","5.0","2.0","2.0","6.0","4.0","7.0","1.0","6.0","12.0","6.0","8.0","0.0","4.0","3.0","0.0","6.0","3.0","0.0","4.0","2.0","6.0","2.0","1.0","2.0","2.0","2.0","6.0","2.0","6.0","4.0","3.0","1.0","2.0","2.0","4.0","3.0","14.0"
"Infractions à l'exercice d'une profession réglementée","14.0","3.0","6.0","5.0","7.0","45.0","6.0","3.0","5.0","4.0","3.0","6.0","39.0","7.0","6.0","9.0","8.0","5.0","5.0","12.0","10.0","1.0","18.0","6.0","9.0","13.0","5.0","8.0","9.0","3.0","10.0","21.0","2.0","44.0","20.0","8.0","3.0","10.0","10.0","16.0","11.0","0.0","14.0","4.0","26.0","5.0","2.0","2.0","5.0","4.0","7.0","11.0","8.0","3.0","6.0","2.0","11.0","21.0","2.0","18.0","12.0","2.0","9.0","11.0","20.0","4.0","6.0","19.0","16.0","20.0","3.0","3.0","3.0","8.0","15.0","161.0","11.0","17.0","7.0","2.0","2.0","7.0","5.0","29.0","28.0","8.0","5.0","27.0","15.0","8.0","4.0","8.0","21.0","9.0","5.0","68.0"
"Infractions au droit de l'urbanisme et de la construction","22.0","12.0","13.0","12.0","13.0","327.0","12.0","6.0","19.0","4.0","21.0","9.0","201.0","10.0","3.0","11.0","27.0","2.0","2.0","13.0","8.0","4.0","12.0","10.0","29.0","9.0","6.0","16.0","71.0","31.0","35.0","18.0","4.0","70.0","102.0","8.0","2.0","13.0","26.0","16.0","21.0","3.0","13.0","6.0","40.0","19.0","7.0","3.0","8.0","15.0","28.0","3.0","7.0","4.0","11.0","6.0","14.0","28.0","3.0","27.0","28.0","9.0","31.0","14.0","14.0","14.0","35.0","43.0","11.0","22.0","4.0","2.0","6.0","43.0","47.0","10.0","7.0","29.0","42.0","4.0","22.0","16.0","15.0","249.0","138.0","26.0","19.0","8.0","11.0","8.0","1.0","54.0","7.0","18.0","12.0","39.0"
"Fraudes fiscales","4.0","6.0","1.0","21.0","3.0","93.0","0.0","1.0","4.0","3.0","6.0","5.0","42.0","7.0","2.0","6.0","1.0","1.0","2.0","4.0","3.0","1.0","11.0","2.0","6.0","0.0","0.0","9.0","6.0","8.0","4.0","19.0","6.0","11.0","15.0","2.0","0.0","2.0","17.0","2.0","0.0","14.0","7.0","0.0","13.0","16.0","0.0","4.0","0.0","5.0","3.0","7.0","2.0","2.0","5.0","2.0","3.0","12.0","2.0","14.0","7.0","3.0","2.0","8.0","3.0","0.0","6.0","24.0","7.0","6.0","0.0","5.0","5.0","11.0","5.0","201.0","10.0","11.0","8.0","2.0","1.0","3.0","4.0","16.0","13.0","3.0","2.0","1.0","0.0","2.0","7.0","4.0","26.0","11.0","12.0","6.0"
"Autres délits économiques et financiers","20.0","30.0","8.0","14.0","6.0","296.0","8.0","6.0","9.0","10.0","56.0","13.0","747.0","18.0","7.0","10.0","23.0","9.0","4.0","14.0","14.0","4.0","17.0","21.0","7.0","27.0","12.0","21.0","15.0","11.0","15.0","177.0","9.0","61.0","46.0","14.0","3.0","17.0","32.0","12.0","14.0","1.0","64.0","4.0","26.0","25.0","4.0","19.0","1.0","16.0","7.0","17.0","6.0","17.0","56.0","4.0","12.0","24.0","2.0","233.0","12.0","15.0","54.0","19.0","47.0","6.0","32.0","67.0","10.0","289.0","1.0","24.0","5.0","16.0","32.0","1386.0","52.0","54.0","241.0","14.0","16.0","13.0","5.0","67.0","18.0","9.0","12.0","10.0","7.0","14.0","10.0","54.0","93.0","143.0","40.0","87.0"
"Autres délits","608.0","1135.0","385.0","164.0","126.0","2069.0","429.0","390.0","131.0","506.0","477.0","232.0","4274.0","683.0","105.0","430.0","1012.0","338.0","280.0","569.0","565.0","126.0","563.0","698.0","743.0","677.0","487.0","1277.0","229.0","266.0","1211.0","1807.0","139.0","2298.0","1521.0","1038.0","245.0","639.0","987.0","345.0","515.0","402.0","874.0","269.0","1806.0","767.0","152.0","413.0","66.0","838.0","523.0","953.0","310.0","396.0","1088.0","236.0","757.0","1171.0","195.0","4642.0","1345.0","359.0","2801.0","615.0","658.0","233.0","578.0","1326.0","968.0","2896.0","251.0","524.0","554.0","618.0","1071.0","7806.0","1997.0","2136.0","2116.0","418.0","1216.0","313.0","268.0","1598.0","879.0","681.0","495.0","287.0","403.0","504.0","165.0","2177.0","2166.0","3334.0","2012.0","2839.0"
"Source : Etat 4001 annuel, DCPJ - Traitement ONDRP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
